Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,Month,ReportType,NSize
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.330000013,0.140000001,January,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.519999981,0.140000001,January,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.189999998,0,January,External,120
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.330000013,0.209999993,March,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.74000001,0.209999993,March,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.409999996,0,March,External,120
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.479999989,0.25,May,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.939999998,0.270000011,May,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.460000008,-0.029999999,May,External,120
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.100000001,0.090000004,November,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.280000001,0.079999998,November,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.170000002,0.01,November,External,120
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.090000004,0.079999998,October,External,120
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.280000001,0.039999999,October,External,120
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.180000007,0.029999999,October,External,120
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.01,0.059999999,April,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.059999999,0.090000004,April,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.050000001,-0.029999999,April,External,596
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.01,0.029999999,December,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.039999999,0.059999999,December,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,December,External,596
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.01,0.050000001,February,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.059999999,0.07,February,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.050000001,-0.02,February,External,596
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.01,0.039999999,January,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.050000001,0.07,January,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.039999999,-0.02,January,External,596
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.01,0.050000001,March,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.059999999,0.079999998,March,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.039999999,-0.029999999,March,External,596
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.01,0.07,May,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.07,0.090000004,May,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.059999999,-0.029999999,May,External,596
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.01,0.029999999,November,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.029999999,0.050000001,November,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.02,-0.02,November,External,596
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0,0.02,October,External,596
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.02,0.039999999,October,External,596
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.02,-0.02,October,External,596
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.029999999,0.059999999,April,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.050000001,0.090000004,April,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,-0.02,-0.029999999,April,External,264
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.02,0.029999999,December,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.029999999,0.059999999,December,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,-0.01,-0.02,December,External,264
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.02,0.050000001,February,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.039999999,0.07,February,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,-0.02,-0.02,February,External,264
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.02,0.039999999,January,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.029999999,0.07,January,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,-0.01,-0.02,January,External,264
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.029999999,0.050000001,March,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.039999999,0.079999998,March,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,-0.01,-0.029999999,March,External,264
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.029999999,0.07,May,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.07,0.090000004,May,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,-0.050000001,-0.029999999,May,External,264
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.02,0.029999999,November,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.029999999,0.050000001,November,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,0,-0.02,November,External,264
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.02,0.02,October,External,264
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.02,0.039999999,October,External,264
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,0,-0.02,October,External,264
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0.02,0.079999998,April,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.25,0.090000004,April,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.230000004,-0.01,April,External,147
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0.01,0.050000001,December,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.150000006,0.059999999,December,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.140000001,-0.01,December,External,147
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0.02,0.059999999,February,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.219999999,0.079999998,February,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.200000003,-0.01,February,External,147
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0.01,0.059999999,January,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.189999998,0.07,January,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.180000007,-0.01,January,External,147
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0.02,0.07,March,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.239999995,0.079999998,March,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.219999999,-0.01,March,External,147
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0.02,0.079999998,May,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.270000011,0.100000001,May,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.239999995,-0.02,May,External,147
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0,0.039999999,November,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.109999999,0.050000001,November,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.109999999,-0.01,November,External,147
108-2013-14-All Students-Entry-External,108,2013-14,All Students,Entry,0,0.039999999,October,External,147
108-2013-14-All Students-Withdrawal-External,108,2013-14,All Students,Withdrawal,0.050000001,0.050000001,October,External,147
108-2013-14-All Students-Net Cumulative-External,108,2013-14,All Students,Net Cumulative,-0.050000001,-0.01,October,External,147
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0.01,0.140000001,April,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.07,0.090000004,April,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.059999999,0.039999999,April,External,373
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0,0.079999998,December,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.029999999,0.029999999,December,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.029999999,0.050000001,December,External,373
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0.01,0.109999999,February,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.050000001,0.059999999,February,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.039999999,0.050000001,February,External,373
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0.01,0.100000001,January,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.039999999,0.050000001,January,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.039999999,0.050000001,January,External,373
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0.01,0.129999995,March,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.050000001,0.079999998,March,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.039999999,0.050000001,March,External,373
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0.01,0.140000001,May,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.079999998,0.109999999,May,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.07,0.039999999,May,External,373
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0,0.07,November,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.029999999,0.02,November,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.029999999,0.050000001,November,External,373
109-2013-14-All Students-Entry-External,109,2013-14,All Students,Entry,0,0.059999999,October,External,373
109-2013-14-All Students-Withdrawal-External,109,2013-14,All Students,Withdrawal,0.01,0.01,October,External,373
109-2013-14-All Students-Net Cumulative-External,109,2013-14,All Students,Net Cumulative,-0.01,0.050000001,October,External,373
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.059999999,April,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.029999999,0.090000004,April,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.029999999,-0.029999999,April,External,559
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.029999999,December,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.029999999,0.059999999,December,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,December,External,559
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.050000001,February,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.029999999,0.07,February,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,February,External,559
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.039999999,January,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.029999999,0.07,January,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,January,External,559
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.050000001,March,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.029999999,0.079999998,March,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.029999999,-0.029999999,March,External,559
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.07,May,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.039999999,0.090000004,May,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.039999999,-0.029999999,May,External,559
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.029999999,November,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.02,0.050000001,November,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.02,-0.02,November,External,559
113-2013-14-All Students-Entry-External,113,2013-14,All Students,Entry,0,0.02,October,External,559
113-2013-14-All Students-Withdrawal-External,113,2013-14,All Students,Withdrawal,0.02,0.039999999,October,External,559
113-2013-14-All Students-Net Cumulative-External,113,2013-14,All Students,Net Cumulative,-0.02,-0.02,October,External,559
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0.01,0.07,April,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.090000004,0.090000004,April,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.079999998,-0.02,April,External,451
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0.01,0.050000001,December,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.050000001,0.059999999,December,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.050000001,-0.02,December,External,451
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0.01,0.059999999,February,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.059999999,0.079999998,February,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.059999999,-0.02,February,External,451
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0.01,0.050000001,January,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.059999999,0.07,January,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.059999999,-0.01,January,External,451
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0.01,0.07,March,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.07,0.079999998,March,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.07,-0.02,March,External,451
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0.01,0.079999998,May,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.090000004,0.100000001,May,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.079999998,-0.02,May,External,451
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0,0.039999999,November,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.039999999,0.050000001,November,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.039999999,-0.01,November,External,451
114-2013-14-All Students-Entry-External,114,2013-14,All Students,Entry,0,0.029999999,October,External,451
114-2013-14-All Students-Withdrawal-External,114,2013-14,All Students,Withdrawal,0.02,0.050000001,October,External,451
114-2013-14-All Students-Net Cumulative-External,114,2013-14,All Students,Net Cumulative,-0.02,-0.01,October,External,451
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.119999997,April,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.079999998,0.109999999,April,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,-0.07,0.01,April,External,318
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.079999998,December,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.02,0.07,December,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,-0.01,0.02,December,External,318
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.100000001,February,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.029999999,0.079999998,February,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,-0.029999999,0.02,February,External,318
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.090000004,January,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.029999999,0.07,January,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,-0.02,0.02,January,External,318
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.109999999,March,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.039999999,0.090000004,March,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,-0.029999999,0.02,March,External,318
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.119999997,May,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.170000002,0.129999995,May,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,-0.159999996,0,May,External,318
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.079999998,November,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.01,0.059999999,November,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,-0.01,0.02,November,External,318
115-2013-14-All Students-Entry-External,115,2013-14,All Students,Entry,0.01,0.07,October,External,318
115-2013-14-All Students-Withdrawal-External,115,2013-14,All Students,Withdrawal,0.01,0.050000001,October,External,318
115-2013-14-All Students-Net Cumulative-External,115,2013-14,All Students,Net Cumulative,0,0.02,October,External,318
116-2013-14-All Students-Entry-External,116,2013-14,All Students,Entry,0.01,0.109999999,April,External,338
116-2013-14-All Students-Withdrawal-External,116,2013-14,All Students,Withdrawal,0.079999998,0.100000001,April,External,338
116-2013-14-All Students-Net Cumulative-External,116,2013-14,All Students,Net Cumulative,-0.079999998,0.01,April,External,338
116-2013-14-All Students-Entry-External,116,2013-14,All Students,Entry,0,0.079999998,December,External,338
116-2013-14-All Students-Withdrawal-External,116,2013-14,All Students,Withdrawal,0.029999999,0.059999999,December,External,338
116-2013-14-All Students-Net Cumulative-External,116,2013-14,All Students,Net Cumulative,-0.02,0.01,December,External,338
116-2013-14-All Students-Entry-External,116,2013-14,All Students,Entry,0,0.090000004,February,External,338
116-2013-14-All Students-Withdrawal-External,116,2013-14,All Students,Withdrawal,0.039999999,0.079999998,February,External,338
116-2013-14-All Students-Net Cumulative-External,116,2013-14,All Students,Net Cumulative,-0.039999999,0.01,February,External,338
116-2013-14-All Students-Entry-External,116,2013-14,All Students,Entry,0,0.079999998,January,External,338
116-2013-14-All Students-Withdrawal-External,116,2013-14,All Students,Withdrawal,0.039999999,0.07,January,External,338
116-2013-14-All Students-Net Cumulative-External,116,2013-14,All Students,Net Cumulative,-0.039999999,0.01,January,External,338
116-2013-14-All Students-Entry-External,116,2013-14,All Students,Entry,0,0.100000001,March,External,338
116-2013-14-All Students-Withdrawal-External,116,2013-14,All Students,Withdrawal,0.059999999,0.090000004,March,External,338
116-2013-14-All Students-Net Cumulative-External,116,2013-14,All Students,Net Cumulative,-0.059999999,0.01,March,External,338
116-2013-14-All Students-Entry-External,116,2013-14,All Students,Entry,0.01,0.109999999,May,External,338
116-2013-14-All Students-Withdrawal-External,116,2013-14,All Students,Withdrawal,0.090000004,0.119999997,May,External,338
116-2013-14-All Students-Net Cumulative-External,116,2013-14,All Students,Net Cumulative,-0.079999998,0,May,External,338
116-2013-14-All Students-Entry-External,116,2013-14,All Students,Entry,0,0.07,November,External,338
116-2013-14-All Students-Withdrawal-External,116,2013-14,All Students,Withdrawal,0.01,0.059999999,November,External,338
