Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize
105-2013-14-Free or Reduced Lunch-Suspended 1+-External,105,2013-14,Free or Reduced Lunch,Suspended 1+,1,7,External,595
105-2013-14-Hispanic / Latino-Suspended 1+-External,105,2013-14,Hispanic / Latino,Suspended 1+,0,4,External,211
105-2013-14-Hispanic / Latino-Suspended 11+-External,105,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,211
105-2013-14-Limited English Proficiency-Suspended 11+-External,105,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,233
105-2013-14-Limited English Proficiency-Suspended 1+-External,105,2013-14,Limited English Proficiency,Suspended 1+,0,2,External,233
105-2013-14-Male-Suspended 1+-External,105,2013-14,Male,Suspended 1+,1,8,External,296
105-2013-14-Male-Suspended 11+-External,105,2013-14,Male,Suspended 11+,0,0,External,296
105-2013-14-Multiracial-Suspended 1+-External,105,2013-14,Multiracial,Suspended 1+,0,2,External,13
105-2013-14-Multiracial-Suspended 11+-External,105,2013-14,Multiracial,Suspended 11+,0,0,External,13
105-2013-14-Special Education-Suspended 1+-External,105,2013-14,Special Education,Suspended 1+,4,11,External,52
105-2013-14-Special Education-Suspended 11+-External,105,2013-14,Special Education,Suspended 11+,0,0,External,52
106-2013-14-All Students-Suspended 11+-External,106,2013-14,All Students,Suspended 11+,0,0,External,264
106-2013-14-All Students-Suspended 1+-External,106,2013-14,All Students,Suspended 1+,3,6,External,264
106-2013-14-Black non-Hispanic-Suspended 1+-External,106,2013-14,Black non-Hispanic,Suspended 1+,3,7,External,193
106-2013-14-Black non-Hispanic-Suspended 11+-External,106,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,193
106-2013-14-Female-Suspended 11+-External,106,2013-14,Female,Suspended 11+,0,0,External,143
106-2013-14-Female-Suspended 1+-External,106,2013-14,Female,Suspended 1+,0,3,External,143
106-2013-14-Free or Reduced Lunch-Suspended 11+-External,106,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,264
106-2013-14-Free or Reduced Lunch-Suspended 1+-External,106,2013-14,Free or Reduced Lunch,Suspended 1+,3,7,External,264
106-2013-14-Hispanic / Latino-Suspended 1+-External,106,2013-14,Hispanic / Latino,Suspended 1+,2,4,External,49
106-2013-14-Hispanic / Latino-Suspended 11+-External,106,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,49
106-2013-14-Limited English Proficiency-Suspended 11+-External,106,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,60
106-2013-14-Limited English Proficiency-Suspended 1+-External,106,2013-14,Limited English Proficiency,Suspended 1+,2,2,External,60
106-2013-14-Male-Suspended 11+-External,106,2013-14,Male,Suspended 11+,0,0,External,121
106-2013-14-Male-Suspended 1+-External,106,2013-14,Male,Suspended 1+,7,8,External,121
106-2013-14-Multiracial-Suspended 11+-External,106,2013-14,Multiracial,Suspended 11+,0,0,External,10
106-2013-14-Multiracial-Suspended 1+-External,106,2013-14,Multiracial,Suspended 1+,0,2,External,10
106-2013-14-Special Education-Suspended 11+-External,106,2013-14,Special Education,Suspended 11+,0,0,External,28
106-2013-14-Special Education-Suspended 1+-External,106,2013-14,Special Education,Suspended 1+,0,11,External,28
108-2013-14-All Students-Suspended 1+-External,108,2013-14,All Students,Suspended 1+,0,12,External,147
108-2013-14-All Students-Suspended 11+-External,108,2013-14,All Students,Suspended 11+,0,0,External,147
108-2013-14-Black non-Hispanic-Suspended 11+-External,108,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,97
108-2013-14-Black non-Hispanic-Suspended 1+-External,108,2013-14,Black non-Hispanic,Suspended 1+,0,16,External,97
108-2013-14-Female-Suspended 11+-External,108,2013-14,Female,Suspended 11+,0,0,External,77
108-2013-14-Female-Suspended 1+-External,108,2013-14,Female,Suspended 1+,0,9,External,77
108-2013-14-Free or Reduced Lunch-Suspended 1+-External,108,2013-14,Free or Reduced Lunch,Suspended 1+,0,14,External,56
108-2013-14-Free or Reduced Lunch-Suspended 11+-External,108,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,56
108-2013-14-Male-Suspended 11+-External,108,2013-14,Male,Suspended 11+,0,0,External,70
108-2013-14-Male-Suspended 1+-External,108,2013-14,Male,Suspended 1+,0,15,External,70
108-2013-14-Special Education-Suspended 11+-External,108,2013-14,Special Education,Suspended 11+,0,0,External,16
108-2013-14-Special Education-Suspended 1+-External,108,2013-14,Special Education,Suspended 1+,0,20,External,16
108-2013-14-White non-Hispanic-Suspended 11+-External,108,2013-14,White non-Hispanic,Suspended 11+,0,0,External,40
108-2013-14-White non-Hispanic-Suspended 1+-External,108,2013-14,White non-Hispanic,Suspended 1+,0,1,External,40
109-2013-14-All Students-Suspended 1+-External,109,2013-14,All Students,Suspended 1+,11,18,External,373
109-2013-14-All Students-Suspended 11+-External,109,2013-14,All Students,Suspended 11+,0,1,External,373
109-2013-14-Black non-Hispanic-Suspended 1+-External,109,2013-14,Black non-Hispanic,Suspended 1+,12,21,External,337
109-2013-14-Black non-Hispanic-Suspended 11+-External,109,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,337
109-2013-14-Female-Suspended 1+-External,109,2013-14,Female,Suspended 1+,10,15,External,198
109-2013-14-Female-Suspended 11+-External,109,2013-14,Female,Suspended 11+,0,1,External,198
109-2013-14-Free or Reduced Lunch-Suspended 11+-External,109,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,373
109-2013-14-Free or Reduced Lunch-Suspended 1+-External,109,2013-14,Free or Reduced Lunch,Suspended 1+,11,21,External,373
109-2013-14-Hispanic / Latino-Suspended 11+-External,109,2013-14,Hispanic / Latino,Suspended 11+,0,2,External,35
109-2013-14-Hispanic / Latino-Suspended 1+-External,109,2013-14,Hispanic / Latino,Suspended 1+,3,24,External,35
109-2013-14-Limited English Proficiency-Suspended 11+-External,109,2013-14,Limited English Proficiency,Suspended 11+,0,1,External,16
109-2013-14-Limited English Proficiency-Suspended 1+-External,109,2013-14,Limited English Proficiency,Suspended 1+,6,10,External,16
109-2013-14-Male-Suspended 1+-External,109,2013-14,Male,Suspended 1+,13,22,External,175
109-2013-14-Male-Suspended 11+-External,109,2013-14,Male,Suspended 11+,0,1,External,175
109-2013-14-Special Education-Suspended 1+-External,109,2013-14,Special Education,Suspended 1+,22,30,External,45
109-2013-14-Special Education-Suspended 11+-External,109,2013-14,Special Education,Suspended 11+,0,1,External,45
113-2013-14-All Students-Suspended 11+-External,113,2013-14,All Students,Suspended 11+,0,0,External,559
113-2013-14-All Students-Suspended 1+-External,113,2013-14,All Students,Suspended 1+,12,6,External,559
113-2013-14-Black non-Hispanic-Suspended 11+-External,113,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,556
113-2013-14-Black non-Hispanic-Suspended 1+-External,113,2013-14,Black non-Hispanic,Suspended 1+,12,7,External,556
113-2013-14-Female-Suspended 1+-External,113,2013-14,Female,Suspended 1+,7,3,External,275
113-2013-14-Female-Suspended 11+-External,113,2013-14,Female,Suspended 11+,0,0,External,275
113-2013-14-Free or Reduced Lunch-Suspended 11+-External,113,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,559
113-2013-14-Free or Reduced Lunch-Suspended 1+-External,113,2013-14,Free or Reduced Lunch,Suspended 1+,12,7,External,559
113-2013-14-Male-Suspended 11+-External,113,2013-14,Male,Suspended 11+,0,0,External,284
113-2013-14-Male-Suspended 1+-External,113,2013-14,Male,Suspended 1+,17,8,External,284
113-2013-14-Special Education-Suspended 1+-External,113,2013-14,Special Education,Suspended 1+,33,11,External,58
113-2013-14-Special Education-Suspended 11+-External,113,2013-14,Special Education,Suspended 11+,0,0,External,58
114-2013-14-All Students-Suspended 11+-External,114,2013-14,All Students,Suspended 11+,0,0,External,451
114-2013-14-All Students-Suspended 1+-External,114,2013-14,All Students,Suspended 1+,1,10,External,451
114-2013-14-Black non-Hispanic-Suspended 11+-External,114,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,429
114-2013-14-Black non-Hispanic-Suspended 1+-External,114,2013-14,Black non-Hispanic,Suspended 1+,1,13,External,429
114-2013-14-Female-Suspended 11+-External,114,2013-14,Female,Suspended 11+,0,0,External,225
114-2013-14-Female-Suspended 1+-External,114,2013-14,Female,Suspended 1+,0,7,External,225
114-2013-14-Free or Reduced Lunch-Suspended 11+-External,114,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,365
114-2013-14-Free or Reduced Lunch-Suspended 1+-External,114,2013-14,Free or Reduced Lunch,Suspended 1+,1,12,External,365
114-2013-14-Hispanic / Latino-Suspended 11+-External,114,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,20
114-2013-14-Hispanic / Latino-Suspended 1+-External,114,2013-14,Hispanic / Latino,Suspended 1+,0,10,External,20
114-2013-14-Limited English Proficiency-Suspended 1+-External,114,2013-14,Limited English Proficiency,Suspended 1+,0,4,External,23
114-2013-14-Limited English Proficiency-Suspended 11+-External,114,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,23
114-2013-14-Male-Suspended 1+-External,114,2013-14,Male,Suspended 1+,1,13,External,226
114-2013-14-Male-Suspended 11+-External,114,2013-14,Male,Suspended 11+,0,0,External,226
114-2013-14-Special Education-Suspended 11+-External,114,2013-14,Special Education,Suspended 11+,0,0,External,41
114-2013-14-Special Education-Suspended 1+-External,114,2013-14,Special Education,Suspended 1+,5,18,External,41
115-2013-14-All Students-Suspended 1+-External,115,2013-14,All Students,Suspended 1+,35,25,External,318
115-2013-14-All Students-Suspended 11+-External,115,2013-14,All Students,Suspended 11+,0,1,External,318
115-2013-14-Black non-Hispanic-Suspended 1+-External,115,2013-14,Black non-Hispanic,Suspended 1+,36,30,External,304
115-2013-14-Black non-Hispanic-Suspended 11+-External,115,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,304
115-2013-14-Female-Suspended 1+-External,115,2013-14,Female,Suspended 1+,31,20,External,171
115-2013-14-Female-Suspended 11+-External,115,2013-14,Female,Suspended 11+,0,1,External,171
115-2013-14-Free or Reduced Lunch-Suspended 11+-External,115,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,211
115-2013-14-Free or Reduced Lunch-Suspended 1+-External,115,2013-14,Free or Reduced Lunch,Suspended 1+,38,29,External,211
115-2013-14-Hispanic / Latino-Suspended 11+-External,115,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,10
115-2013-14-Hispanic / Latino-Suspended 1+-External,115,2013-14,Hispanic / Latino,Suspended 1+,20,26,External,10
115-2013-14-Limited English Proficiency-Suspended 1+-External,115,2013-14,Limited English Proficiency,Suspended 1+,33,20,External,15
115-2013-14-Limited English Proficiency-Suspended 11+-External,115,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,15
115-2013-14-Male-Suspended 11+-External,115,2013-14,Male,Suspended 11+,0,1,External,147
115-2013-14-Male-Suspended 1+-External,115,2013-14,Male,Suspended 1+,39,30,External,147
115-2013-14-Special Education-Suspended 11+-External,115,2013-14,Special Education,Suspended 11+,0,1,External,20
115-2013-14-Special Education-Suspended 1+-External,115,2013-14,Special Education,Suspended 1+,65,34,External,20
116-2013-14-All Students-Suspended 1+-External,116,2013-14,All Students,Suspended 1+,29,22,External,338
116-2013-14-All Students-Suspended 11+-External,116,2013-14,All Students,Suspended 11+,0,1,External,338
116-2013-14-Black non-Hispanic-Suspended 1+-External,116,2013-14,Black non-Hispanic,Suspended 1+,28,27,External,325
116-2013-14-Black non-Hispanic-Suspended 11+-External,116,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,325
116-2013-14-Female-Suspended 11+-External,116,2013-14,Female,Suspended 11+,0,1,External,179
116-2013-14-Female-Suspended 1+-External,116,2013-14,Female,Suspended 1+,25,17,External,179
116-2013-14-Free or Reduced Lunch-Suspended 11+-External,116,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,294
116-2013-14-Free or Reduced Lunch-Suspended 1+-External,116,2013-14,Free or Reduced Lunch,Suspended 1+,30,25,External,294
116-2013-14-Hispanic / Latino-Suspended 1+-External,116,2013-14,Hispanic / Latino,Suspended 1+,38,22,External,13
116-2013-14-Hispanic / Latino-Suspended 11+-External,116,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,13
116-2013-14-Male-Suspended 11+-External,116,2013-14,Male,Suspended 11+,1,1,External,159
116-2013-14-Male-Suspended 1+-External,116,2013-14,Male,Suspended 1+,33,26,External,159
116-2013-14-Special Education-Suspended 11+-External,116,2013-14,Special Education,Suspended 11+,0,1,External,71
116-2013-14-Special Education-Suspended 1+-External,116,2013-14,Special Education,Suspended 1+,41,30,External,71
117-2013-14-All Students-Suspended 1+-External,117,2013-14,All Students,Suspended 1+,14,10,External,423
117-2013-14-All Students-Suspended 11+-External,117,2013-14,All Students,Suspended 11+,0,0,External,423
117-2013-14-Black non-Hispanic-Suspended 1+-External,117,2013-14,Black non-Hispanic,Suspended 1+,14,13,External,413
117-2013-14-Black non-Hispanic-Suspended 11+-External,117,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,413
117-2013-14-Female-Suspended 11+-External,117,2013-14,Female,Suspended 11+,0,0,External,207
117-2013-14-Female-Suspended 1+-External,117,2013-14,Female,Suspended 1+,10,7,External,207
117-2013-14-Free or Reduced Lunch-Suspended 11+-External,117,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,423
117-2013-14-Free or Reduced Lunch-Suspended 1+-External,117,2013-14,Free or Reduced Lunch,Suspended 1+,14,12,External,423
117-2013-14-Male-Suspended 11+-External,117,2013-14,Male,Suspended 11+,0,0,External,207
117-2013-14-Male-Suspended 1+-External,117,2013-14,Male,Suspended 1+,18,13,External,207
117-2013-14-Special Education-Suspended 11+-External,117,2013-14,Special Education,Suspended 11+,0,0,External,27
117-2013-14-Special Education-Suspended 1+-External,117,2013-14,Special Education,Suspended 1+,22,18,External,27
121-2013-14-All Students-Suspended 1+-External,121,2013-14,All Students,Suspended 1+,29,19,External,388
121-2013-14-All Students-Suspended 11+-External,121,2013-14,All Students,Suspended 11+,0,1,External,388
121-2013-14-Black non-Hispanic-Suspended 11+-External,121,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,371
121-2013-14-Black non-Hispanic-Suspended 1+-External,121,2013-14,Black non-Hispanic,Suspended 1+,30,24,External,371
121-2013-14-Female-Suspended 1+-External,121,2013-14,Female,Suspended 1+,21,15,External,193
121-2013-14-Female-Suspended 11+-External,121,2013-14,Female,Suspended 11+,0,0,External,193
121-2013-14-Free or Reduced Lunch-Suspended 1+-External,121,2013-14,Free or Reduced Lunch,Suspended 1+,32,23,External,298
121-2013-14-Free or Reduced Lunch-Suspended 11+-External,121,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,298
121-2013-14-Hispanic / Latino-Suspended 1+-External,121,2013-14,Hispanic / Latino,Suspended 1+,17,20,External,12
121-2013-14-Hispanic / Latino-Suspended 11+-External,121,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,12
121-2013-14-Male-Suspended 11+-External,121,2013-14,Male,Suspended 11+,0,1,External,195
121-2013-14-Male-Suspended 1+-External,121,2013-14,Male,Suspended 1+,37,24,External,195
121-2013-14-Special Education-Suspended 1+-External,121,2013-14,Special Education,Suspended 1+,48,28,External,75
121-2013-14-Special Education-Suspended 11+-External,121,2013-14,Special Education,Suspended 11+,0,1,External,75
125-2013-14-All Students-Suspended 11+-External,125,2013-14,All Students,Suspended 11+,0,1,External,366
125-2013-14-All Students-Suspended 1+-External,125,2013-14,All Students,Suspended 1+,3,22,External,366
125-2013-14-Asian-Suspended 1+-External,125,2013-14,Asian,Suspended 1+,0,2,External,14
125-2013-14-Asian-Suspended 11+-External,125,2013-14,Asian,Suspended 11+,0,0,External,14
125-2013-14-Black non-Hispanic-Suspended 11+-External,125,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,161
125-2013-14-Black non-Hispanic-Suspended 1+-External,125,2013-14,Black non-Hispanic,Suspended 1+,4,27,External,161
125-2013-14-Female-Suspended 11+-External,125,2013-14,Female,Suspended 11+,0,1,External,181
125-2013-14-Female-Suspended 1+-External,125,2013-14,Female,Suspended 1+,1,17,External,181
125-2013-14-Free or Reduced Lunch-Suspended 1+-External,125,2013-14,Free or Reduced Lunch,Suspended 1+,6,25,External,82
125-2013-14-Free or Reduced Lunch-Suspended 11+-External,125,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,82
125-2013-14-Hispanic / Latino-Suspended 11+-External,125,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,25
125-2013-14-Hispanic / Latino-Suspended 1+-External,125,2013-14,Hispanic / Latino,Suspended 1+,4,22,External,25
125-2013-14-Male-Suspended 11+-External,125,2013-14,Male,Suspended 11+,0,1,External,185
125-2013-14-Male-Suspended 1+-External,125,2013-14,Male,Suspended 1+,4,26,External,185
125-2013-14-Multiracial-Suspended 11+-External,125,2013-14,Multiracial,Suspended 11+,0,0,External,11
125-2013-14-Multiracial-Suspended 1+-External,125,2013-14,Multiracial,Suspended 1+,0,8,External,11
125-2013-14-Special Education-Suspended 11+-External,125,2013-14,Special Education,Suspended 11+,0,1,External,26
125-2013-14-Special Education-Suspended 1+-External,125,2013-14,Special Education,Suspended 1+,12,30,External,26
125-2013-14-White non-Hispanic-Suspended 11+-External,125,2013-14,White non-Hispanic,Suspended 11+,0,0,External,154
125-2013-14-White non-Hispanic-Suspended 1+-External,125,2013-14,White non-Hispanic,Suspended 1+,1,2,External,154
126-2013-14-All Students-Suspended 11+-External,126,2013-14,All Students,Suspended 11+,0,0,External,478
126-2013-14-All Students-Suspended 1+-External,126,2013-14,All Students,Suspended 1+,0,1,External,478
126-2013-14-Asian-Suspended 1+-External,126,2013-14,Asian,Suspended 1+,0,2,External,14
126-2013-14-Asian-Suspended 11+-External,126,2013-14,Asian,Suspended 11+,0,0,External,14
126-2013-14-Black non-Hispanic-Suspended 1+-External,126,2013-14,Black non-Hispanic,Suspended 1+,0,2,External,78
126-2013-14-Black non-Hispanic-Suspended 11+-External,126,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,78
126-2013-14-Female-Suspended 11+-External,126,2013-14,Female,Suspended 11+,0,0,External,430
126-2013-14-Female-Suspended 1+-External,126,2013-14,Female,Suspended 1+,0,1,External,430
126-2013-14-Free or Reduced Lunch-Suspended 1+-External,126,2013-14,Free or Reduced Lunch,Suspended 1+,0,1,External,478
126-2013-14-Free or Reduced Lunch-Suspended 11+-External,126,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,478
126-2013-14-Hispanic / Latino-Suspended 11+-External,126,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,383
126-2013-14-Hispanic / Latino-Suspended 1+-External,126,2013-14,Hispanic / Latino,Suspended 1+,0,0,External,383
126-2013-14-Limited English Proficiency-Suspended 11+-External,126,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,49
126-2013-14-Limited English Proficiency-Suspended 1+-External,126,2013-14,Limited English Proficiency,Suspended 1+,0,1,External,49
126-2013-14-Male-Suspended 1+-External,126,2013-14,Male,Suspended 1+,0,2,External,48
126-2013-14-Male-Suspended 11+-External,126,2013-14,Male,Suspended 11+,0,0,External,48
127-2013-14-All Students-Suspended 1+-External,127,2013-14,All Students,Suspended 1+,20,25,External,322
127-2013-14-All Students-Suspended 11+-External,127,2013-14,All Students,Suspended 11+,0,1,External,322
127-2013-14-Black non-Hispanic-Suspended 1+-External,127,2013-14,Black non-Hispanic,Suspended 1+,27,30,External,79
127-2013-14-Black non-Hispanic-Suspended 11+-External,127,2013-14,Black non-Hispanic,Suspended 11+,0,1,External,79
127-2013-14-Female-Suspended 11+-External,127,2013-14,Female,Suspended 11+,0,1,External,161
127-2013-14-Female-Suspended 1+-External,127,2013-14,Female,Suspended 1+,12,20,External,161
127-2013-14-Free or Reduced Lunch-Suspended 1+-External,127,2013-14,Free or Reduced Lunch,Suspended 1+,20,29,External,322
127-2013-14-Free or Reduced Lunch-Suspended 11+-External,127,2013-14,Free or Reduced Lunch,Suspended 11+,0,1,External,322
127-2013-14-Hispanic / Latino-Suspended 11+-External,127,2013-14,Hispanic / Latino,Suspended 11+,0,1,External,240
127-2013-14-Hispanic / Latino-Suspended 1+-External,127,2013-14,Hispanic / Latino,Suspended 1+,18,29,External,240
127-2013-14-Limited English Proficiency-Suspended 1+-External,127,2013-14,Limited English Proficiency,Suspended 1+,32,19,External,88
127-2013-14-Limited English Proficiency-Suspended 11+-External,127,2013-14,Limited English Proficiency,Suspended 11+,0,0,External,88
127-2013-14-Male-Suspended 11+-External,127,2013-14,Male,Suspended 11+,0,1,External,161
127-2013-14-Male-Suspended 1+-External,127,2013-14,Male,Suspended 1+,29,29,External,161
127-2013-14-Special Education-Suspended 11+-External,127,2013-14,Special Education,Suspended 11+,0,2,External,39
127-2013-14-Special Education-Suspended 1+-External,127,2013-14,Special Education,Suspended 1+,38,35,External,39
128-2013-14-All Students-Suspended 1+-External,128,2013-14,All Students,Suspended 1+,1,1,External,116
128-2013-14-All Students-Suspended 11+-External,128,2013-14,All Students,Suspended 11+,0,0,External,116
128-2013-14-Black non-Hispanic-Suspended 1+-External,128,2013-14,Black non-Hispanic,Suspended 1+,1,2,External,71
128-2013-14-Black non-Hispanic-Suspended 11+-External,128,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,71
128-2013-14-Female-Suspended 1+-External,128,2013-14,Female,Suspended 1+,2,1,External,56
128-2013-14-Female-Suspended 11+-External,128,2013-14,Female,Suspended 11+,0,0,External,56
128-2013-14-Free or Reduced Lunch-Suspended 1+-External,128,2013-14,Free or Reduced Lunch,Suspended 1+,1,1,External,116
128-2013-14-Free or Reduced Lunch-Suspended 11+-External,128,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,116
128-2013-14-Hispanic / Latino-Suspended 11+-External,128,2013-14,Hispanic / Latino,Suspended 11+,0,0,External,45
128-2013-14-Hispanic / Latino-Suspended 1+-External,128,2013-14,Hispanic / Latino,Suspended 1+,0,0,External,45
128-2013-14-Male-Suspended 11+-External,128,2013-14,Male,Suspended 11+,0,0,External,58
128-2013-14-Male-Suspended 1+-External,128,2013-14,Male,Suspended 1+,0,1,External,58
130-2013-14-All Students-Suspended 1+-External,130,2013-14,All Students,Suspended 1+,13,4,External,426
130-2013-14-All Students-Suspended 11+-External,130,2013-14,All Students,Suspended 11+,0,0,External,426
130-2013-14-Black non-Hispanic-Suspended 1+-External,130,2013-14,Black non-Hispanic,Suspended 1+,15,5,External,381
130-2013-14-Black non-Hispanic-Suspended 11+-External,130,2013-14,Black non-Hispanic,Suspended 11+,0,0,External,381
130-2013-14-Female-Suspended 1+-External,130,2013-14,Female,Suspended 1+,11,2,External,212
130-2013-14-Female-Suspended 11+-External,130,2013-14,Female,Suspended 11+,0,0,External,212
130-2013-14-Free or Reduced Lunch-Suspended 11+-External,130,2013-14,Free or Reduced Lunch,Suspended 11+,0,0,External,345
