school_code,School Name,exit_month,exits,enrollment,pct_exits
117,Potomac Lighthouse PCS,10,11,423,0.0260
121,KIPP DC – WILL Academy PCS,5,18,388,0.0460
121,KIPP DC – WILL Academy PCS,4,17,388,0.0440
121,KIPP DC – WILL Academy PCS,3,15,388,0.0390
121,KIPP DC – WILL Academy PCS,2,14,388,0.0360
121,KIPP DC – WILL Academy PCS,1,13,388,0.0340
121,KIPP DC – WILL Academy PCS,12,10,388,0.0260
121,KIPP DC – WILL Academy PCS,11,5,388,0.0130
121,KIPP DC – WILL Academy PCS,10,2,388,0.0050
125,Washington Latin PCS – Middle School,3,2,366,0.0050
125,Washington Latin PCS – Middle School,4,2,366,0.0050
125,Washington Latin PCS – Middle School,5,2,366,0.0050
125,Washington Latin PCS – Middle School,1,1,366,0.0030
125,Washington Latin PCS – Middle School,2,1,366,0.0030
125,Washington Latin PCS – Middle School,11,1,366,0.0030
125,Washington Latin PCS – Middle School,12,1,366,0.0030
125,Washington Latin PCS – Middle School,10,0,366,0.0000
126,Briya PCS ,5,9,478,0.0190
126,Briya PCS ,3,8,478,0.0170
126,Briya PCS ,4,8,478,0.0170
126,Briya PCS ,2,7,478,0.0150
126,Briya PCS ,1,5,478,0.0100
126,Briya PCS ,11,5,478,0.0100
126,Briya PCS ,12,5,478,0.0100
126,Briya PCS ,10,2,478,0.0040
127,César Chávez PCS for Public Policy – Chávez Prep,5,8,322,0.0250
127,César Chávez PCS for Public Policy – Chávez Prep,4,7,322,0.0220
127,César Chávez PCS for Public Policy – Chávez Prep,3,6,322,0.0190
127,César Chávez PCS for Public Policy – Chávez Prep,2,5,322,0.0160
127,César Chávez PCS for Public Policy – Chávez Prep,1,1,322,0.0030
127,César Chávez PCS for Public Policy – Chávez Prep,12,1,322,0.0030
127,César Chávez PCS for Public Policy – Chávez Prep,10,0,322,0.0000
127,César Chávez PCS for Public Policy – Chávez Prep,11,0,322,0.0000
130,DC Prep PCS – Edgewood Elementary,5,19,426,0.0450
130,DC Prep PCS – Edgewood Elementary,4,18,426,0.0420
130,DC Prep PCS – Edgewood Elementary,3,14,426,0.0330
130,DC Prep PCS – Edgewood Elementary,2,11,426,0.0260
130,DC Prep PCS – Edgewood Elementary,1,9,426,0.0210
130,DC Prep PCS – Edgewood Elementary,12,7,426,0.0160
130,DC Prep PCS – Edgewood Elementary,11,4,426,0.0090
130,DC Prep PCS – Edgewood Elementary,10,1,426,0.0020
131,Hope Community PCS – Lamond,4,18,380,0.0470
131,Hope Community PCS – Lamond,5,18,380,0.0470
131,Hope Community PCS – Lamond,3,16,380,0.0420
131,Hope Community PCS – Lamond,2,14,380,0.0370
131,Hope Community PCS – Lamond,1,12,380,0.0320
131,Hope Community PCS – Lamond,12,11,380,0.0290
131,Hope Community PCS – Lamond,11,5,380,0.0130
131,Hope Community PCS – Lamond,10,0,380,0.0000
132,KIPP DC – LEAP Academy PCS,4,3,303,0.0100
132,KIPP DC – LEAP Academy PCS,5,3,303,0.0100
132,KIPP DC – LEAP Academy PCS,3,1,303,0.0030
132,KIPP DC – LEAP Academy PCS,1,0,303,0.0000
132,KIPP DC – LEAP Academy PCS,2,0,303,0.0000
132,KIPP DC – LEAP Academy PCS,10,0,303,0.0000
132,KIPP DC – LEAP Academy PCS,11,0,303,0.0000
132,KIPP DC – LEAP Academy PCS,12,0,303,0.0000
133,Maya Angelou PCS – Evans Middle School,4,15,153,0.0980
133,Maya Angelou PCS – Evans Middle School,5,15,153,0.0980
133,Maya Angelou PCS – Evans Middle School,3,14,153,0.0920
133,Maya Angelou PCS – Evans Middle School,2,10,153,0.0650
133,Maya Angelou PCS – Evans Middle School,1,8,153,0.0520
133,Maya Angelou PCS – Evans Middle School,12,6,153,0.0390
133,Maya Angelou PCS – Evans Middle School,11,4,153,0.0260
133,Maya Angelou PCS – Evans Middle School,10,1,153,0.0070
134,Ideal Academy PCS,5,12,280,0.0430
134,Ideal Academy PCS,3,11,280,0.0390
134,Ideal Academy PCS,4,11,280,0.0390
134,Ideal Academy PCS,1,10,280,0.0360
134,Ideal Academy PCS,2,10,280,0.0360
134,Ideal Academy PCS,11,9,280,0.0320
134,Ideal Academy PCS,12,9,280,0.0320
134,Ideal Academy PCS,10,4,280,0.0140
135,Mary McLeod Bethune Day Academy PCS,3,11,373,0.0290
135,Mary McLeod Bethune Day Academy PCS,4,11,373,0.0290
135,Mary McLeod Bethune Day Academy PCS,5,11,373,0.0290
135,Mary McLeod Bethune Day Academy PCS,2,10,373,0.0270
135,Mary McLeod Bethune Day Academy PCS,1,7,373,0.0190
135,Mary McLeod Bethune Day Academy PCS,11,6,373,0.0160
135,Mary McLeod Bethune Day Academy PCS,12,6,373,0.0160
135,Mary McLeod Bethune Day Academy PCS,10,0,373,0.0000
138,Early Childhood Academy PCS,5,13,263,0.0490
138,Early Childhood Academy PCS,3,12,263,0.0460
138,Early Childhood Academy PCS,4,12,263,0.0460
138,Early Childhood Academy PCS,2,10,263,0.0380
138,Early Childhood Academy PCS,1,5,263,0.0190
138,Early Childhood Academy PCS,11,4,263,0.0150
138,Early Childhood Academy PCS,12,4,263,0.0150
138,Early Childhood Academy PCS,10,3,263,0.0110
140,AppleTree Early Learning PCS – Columbia Heights,5,14,161,0.0870
140,AppleTree Early Learning PCS – Columbia Heights,4,11,161,0.0680
140,AppleTree Early Learning PCS – Columbia Heights,3,9,161,0.0560
140,AppleTree Early Learning PCS – Columbia Heights,2,7,161,0.0430
140,AppleTree Early Learning PCS – Columbia Heights,1,3,161,0.0190
140,AppleTree Early Learning PCS – Columbia Heights,12,3,161,0.0190
140,AppleTree Early Learning PCS – Columbia Heights,10,2,161,0.0120
140,AppleTree Early Learning PCS – Columbia Heights,11,2,161,0.0120
141,AppleTree Early Learning PCS –  SouthWest,4,6,79,0.0760
141,AppleTree Early Learning PCS –  SouthWest,5,6,79,0.0760
141,AppleTree Early Learning PCS –  SouthWest,2,5,79,0.0630
141,AppleTree Early Learning PCS –  SouthWest,3,5,79,0.0630
141,AppleTree Early Learning PCS –  SouthWest,1,3,79,0.0380
141,AppleTree Early Learning PCS –  SouthWest,12,2,79,0.0250
141,AppleTree Early Learning PCS –  SouthWest,10,1,79,0.0130
141,AppleTree Early Learning PCS –  SouthWest,11,1,79,0.0130
142,Bridges PCS,5,4,211,0.0190
142,Bridges PCS,3,3,211,0.0140
142,Bridges PCS,4,3,211,0.0140
142,Bridges PCS,2,2,211,0.0090
142,Bridges PCS,1,1,211,0.0050
142,Bridges PCS,10,0,211,0.0000
142,Bridges PCS,11,0,211,0.0000
142,Bridges PCS,12,0,211,0.0000
146,E.L. Haynes PCS – Georgia Avenue,3,6,353,0.0170
146,E.L. Haynes PCS – Georgia Avenue,4,6,353,0.0170
146,E.L. Haynes PCS – Georgia Avenue,5,6,353,0.0170
146,E.L. Haynes PCS – Georgia Avenue,1,4,353,0.0110
146,E.L. Haynes PCS – Georgia Avenue,2,4,353,0.0110
146,E.L. Haynes PCS – Georgia Avenue,11,2,353,0.0060
146,E.L. Haynes PCS – Georgia Avenue,12,2,353,0.0060
146,E.L. Haynes PCS – Georgia Avenue,10,1,353,0.0030
151,Booker T. Washington PCS,3,20,522,0.0380
151,Booker T. Washington PCS,4,20,522,0.0380
151,Booker T. Washington PCS,5,20,522,0.0380
151,Booker T. Washington PCS,1,18,522,0.0340
151,Booker T. Washington PCS,2,18,522,0.0340
151,Booker T. Washington PCS,12,10,522,0.0190
151,Booker T. Washington PCS,11,9,522,0.0170
151,Booker T. Washington PCS,10,0,522,0.0000
153,César Chávez PCS for Public Policy – Capitol Hill,5,35,389,0.0900
153,César Chávez PCS for Public Policy – Capitol Hill,4,33,389,0.0850
153,César Chávez PCS for Public Policy – Capitol Hill,3,31,389,0.0800
153,César Chávez PCS for Public Policy – Capitol Hill,2,27,389,0.0690
153,César Chávez PCS for Public Policy – Capitol Hill,1,24,389,0.0620
153,César Chávez PCS for Public Policy – Capitol Hill,12,10,389,0.0260
153,César Chávez PCS for Public Policy – Capitol Hill,11,6,389,0.0150
153,César Chávez PCS for Public Policy – Capitol Hill,10,2,389,0.0050
158,Community Academy PCS – Amos 2,5,14,288,0.0490
158,Community Academy PCS – Amos 2,3,13,288,0.0450
158,Community Academy PCS – Amos 2,4,13,288,0.0450
158,Community Academy PCS – Amos 2,2,10,288,0.0350
158,Community Academy PCS – Amos 2,1,9,288,0.0310
158,Community Academy PCS – Amos 2,12,5,288,0.0170
158,Community Academy PCS – Amos 2,11,4,288,0.0140
158,Community Academy PCS – Amos 2,10,3,288,0.0100
159,Elsie Whitlow Stokes Community Freedom PCS,4,8,348,0.0230
159,Elsie Whitlow Stokes Community Freedom PCS,5,8,348,0.0230
159,Elsie Whitlow Stokes Community Freedom PCS,3,6,348,0.0170
159,Elsie Whitlow Stokes Community Freedom PCS,2,5,348,0.0140
159,Elsie Whitlow Stokes Community Freedom PCS,1,4,348,0.0110
159,Elsie Whitlow Stokes Community Freedom PCS,12,4,348,0.0110
159,Elsie Whitlow Stokes Community Freedom PCS,11,1,348,0.0030
159,Elsie Whitlow Stokes Community Freedom PCS,10,0,348,0.0000
160,Hospitality High PCS,5,41,182,0.2250
160,Hospitality High PCS,4,38,182,0.2090
160,Hospitality High PCS,3,33,182,0.1810
160,Hospitality High PCS,2,27,182,0.1480
160,Hospitality High PCS,1,24,182,0.1320
160,Hospitality High PCS,12,17,182,0.0930
160,Hospitality High PCS,11,9,182,0.0490
160,Hospitality High PCS,10,2,182,0.0110
161,Perry Street Preparatory PCS ,5,48,815,0.0590
161,Perry Street Preparatory PCS ,4,45,815,0.0550
161,Perry Street Preparatory PCS ,3,42,815,0.0520
161,Perry Street Preparatory PCS ,2,41,815,0.0500
161,Perry Street Preparatory PCS ,1,36,815,0.0440
161,Perry Street Preparatory PCS ,12,20,815,0.0250
161,Perry Street Preparatory PCS ,11,14,815,0.0170
161,Perry Street Preparatory PCS ,10,9,815,0.0110
163,IDEA (Integrated Design & Electronic Academy) PCS,5,31,199,0.1560
163,IDEA (Integrated Design & Electronic Academy) PCS,4,30,199,0.1510
163,IDEA (Integrated Design & Electronic Academy) PCS,3,27,199,0.1360
163,IDEA (Integrated Design & Electronic Academy) PCS,1,22,199,0.1110
163,IDEA (Integrated Design & Electronic Academy) PCS,2,22,199,0.1110
163,IDEA (Integrated Design & Electronic Academy) PCS,12,16,199,0.0800
163,IDEA (Integrated Design & Electronic Academy) PCS,11,11,199,0.0550
163,IDEA (Integrated Design & Electronic Academy) PCS,10,7,199,0.0350
165,Meridian PCS,5,20,588,0.0340
165,Meridian PCS,4,17,588,0.0290
165,Meridian PCS,3,15,588,0.0260
165,Meridian PCS,2,13,588,0.0220
165,Meridian PCS,1,12,588,0.0200
165,Meridian PCS,11,10,588,0.0170
165,Meridian PCS,12,10,588,0.0170
165,Meridian PCS,10,2,588,0.0030
169,Options PCS ,4,49,376,0.1300
169,Options PCS ,5,49,376,0.1300
169,Options PCS ,3,44,376,0.1170
169,Options PCS ,2,34,376,0.0900
169,Options PCS ,1,30,376,0.0800
169,Options PCS ,12,19,376,0.0510
169,Options PCS ,11,16,376,0.0430
169,Options PCS ,10,8,376,0.0210
170,Paul Public Charter School – Middle School,4,28,416,0.0670
170,Paul Public Charter School – Middle School,5,28,416,0.0670
170,Paul Public Charter School – Middle School,3,24,416,0.0580
170,Paul Public Charter School – Middle School,2,20,416,0.0480
170,Paul Public Charter School – Middle School,1,18,416,0.0430
170,Paul Public Charter School – Middle School,12,12,416,0.0290
170,Paul Public Charter School – Middle School,11,11,416,0.0260
170,Paul Public Charter School – Middle School,10,4,416,0.0100
173,Roots PCS,3,5,118,0.0420
173,Roots PCS,4,5,118,0.0420
173,Roots PCS,5,5,118,0.0420
173,Roots PCS,1,4,118,0.0340
173,Roots PCS,2,4,118,0.0340
173,Roots PCS,11,3,118,0.0250
173,Roots PCS,12,3,118,0.0250
173,Roots PCS,10,0,118,0.0000
174,"SEED Public Charter School of Washington, D.C.",5,29,342,0.0850
174,"SEED Public Charter School of Washington, D.C.",4,26,342,0.0760
174,"SEED Public Charter School of Washington, D.C.",3,25,342,0.0730
174,"SEED Public Charter School of Washington, D.C.",2,19,342,0.0560
174,"SEED Public Charter School of Washington, D.C.",1,16,342,0.0470
174,"SEED Public Charter School of Washington, D.C.",11,10,342,0.0290
174,"SEED Public Charter School of Washington, D.C.",12,10,342,0.0290
174,"SEED Public Charter School of Washington, D.C.",10,6,342,0.0180
178,Washington Mathematics Science Technology PCHS,5,39,333,0.1170
178,Washington Mathematics Science Technology PCHS,4,38,333,0.1140
178,Washington Mathematics Science Technology PCHS,3,37,333,0.1110
178,Washington Mathematics Science Technology PCHS,2,29,333,0.0870
178,Washington Mathematics Science Technology PCHS,1,20,333,0.0600
178,Washington Mathematics Science Technology PCHS,10,1,333,0.0030
178,Washington Mathematics Science Technology PCHS,11,1,333,0.0030
178,Washington Mathematics Science Technology PCHS,12,1,333,0.0030
181,Arts and Technology Academy PCS,4,14,618,0.0230
181,Arts and Technology Academy PCS,5,14,618,0.0230
181,Arts and Technology Academy PCS,2,13,618,0.0210
181,Arts and Technology Academy PCS,3,13,618,0.0210
181,Arts and Technology Academy PCS,1,10,618,0.0160
181,Arts and Technology Academy PCS,12,3,618,0.0050
181,Arts and Technology Academy PCS,10,2,618,0.0030
181,Arts and Technology Academy PCS,11,2,618,0.0030
182,Capital City PCS – Middle School,5,8,326,0.0250
182,Capital City PCS – Middle School,4,5,326,0.0150
182,Capital City PCS – Middle School,3,4,326,0.0120
182,Capital City PCS – Middle School,1,2,326,0.0060
182,Capital City PCS – Middle School,2,2,326,0.0060
182,Capital City PCS – Middle School,12,2,326,0.0060
182,Capital City PCS – Middle School,11,1,326,0.0030
182,Capital City PCS – Middle School,10,0,326,0.0000
183,Tree of Life PCS,5,15,311,0.0480
183,Tree of Life PCS,3,14,311,0.0450
183,Tree of Life PCS,4,14,311,0.0450
183,Tree of Life PCS,2,6,311,0.0190
183,Tree of Life PCS,1,5,311,0.0160
183,Tree of Life PCS,12,5,311,0.0160
183,Tree of Life PCS,11,1,311,0.0030
183,Tree of Life PCS,10,0,311,0.0000
184,Capital City PCS – Lower School,5,15,321,0.0470
184,Capital City PCS – Lower School,4,12,321,0.0370
184,Capital City PCS – Lower School,3,6,321,0.0190
184,Capital City PCS – Lower School,2,4,321,0.0120
184,Capital City PCS – Lower School,1,3,321,0.0090
184,Capital City PCS – Lower School,12,2,321,0.0060
184,Capital City PCS – Lower School,11,1,321,0.0030
184,Capital City PCS – Lower School,10,0,321,0.0000
186,Friendship PCS – Collegiate Academy,5,89,914,0.0970
186,Friendship PCS – Collegiate Academy,4,88,914,0.0960
186,Friendship PCS – Collegiate Academy,3,83,914,0.0910
186,Friendship PCS – Collegiate Academy,2,73,914,0.0800
186,Friendship PCS – Collegiate Academy,1,53,914,0.0580
186,Friendship PCS – Collegiate Academy,12,34,914,0.0370
186,Friendship PCS – Collegiate Academy,11,20,914,0.0220
186,Friendship PCS – Collegiate Academy,10,9,914,0.0100
187,Somerset Preparatory Academy PCS,2,12,160,0.0750
187,Somerset Preparatory Academy PCS,3,12,160,0.0750
187,Somerset Preparatory Academy PCS,4,12,160,0.0750
187,Somerset Preparatory Academy PCS,5,12,160,0.0750
187,Somerset Preparatory Academy PCS,1,11,160,0.0690
187,Somerset Preparatory Academy PCS,12,7,160,0.0440
187,Somerset Preparatory Academy PCS,11,5,160,0.0310
187,Somerset Preparatory Academy PCS,10,4,160,0.0250
188,Cedar Tree Academy PCS  ,3,38,322,0.1180
188,Cedar Tree Academy PCS  ,4,38,322,0.1180
188,Cedar Tree Academy PCS  ,5,38,322,0.1180
188,Cedar Tree Academy PCS  ,2,32,322,0.0990
188,Cedar Tree Academy PCS  ,1,24,322,0.0750
188,Cedar Tree Academy PCS  ,12,22,322,0.0680
188,Cedar Tree Academy PCS  ,11,19,322,0.0590
188,Cedar Tree Academy PCS  ,10,9,322,0.0280
189,KIPP DC – KEY Academy PCS,4,10,334,0.0300
189,KIPP DC – KEY Academy PCS,5,10,334,0.0300
189,KIPP DC – KEY Academy PCS,3,6,334,0.0180
189,KIPP DC – KEY Academy PCS,2,5,334,0.0150
189,KIPP DC – KEY Academy PCS,1,3,334,0.0090
189,KIPP DC – KEY Academy PCS,12,3,334,0.0090
189,KIPP DC – KEY Academy PCS,10,2,334,0.0060
189,KIPP DC – KEY Academy PCS,11,2,334,0.0060
190,KIPP DC – LEAD Academy PCS,2,4,215,0.0190
190,KIPP DC – LEAD Academy PCS,3,4,215,0.0190
190,KIPP DC – LEAD Academy PCS,4,4,215,0.0190
190,KIPP DC – LEAD Academy PCS,5,4,215,0.0190
190,KIPP DC – LEAD Academy PCS,1,2,215,0.0090
190,KIPP DC – LEAD Academy PCS,10,1,215,0.0050
190,KIPP DC – LEAD Academy PCS,11,1,215,0.0050
190,KIPP DC – LEAD Academy PCS,12,1,215,0.0050
191,Thurgood Marshall Academy PCS,5,24,399,0.0600
191,Thurgood Marshall Academy PCS,4,23,399,0.0580
191,Thurgood Marshall Academy PCS,3,17,399,0.0430
191,Thurgood Marshall Academy PCS,2,12,399,0.0300
191,Thurgood Marshall Academy PCS,1,7,399,0.0180
191,Thurgood Marshall Academy PCS,12,5,399,0.0130
191,Thurgood Marshall Academy PCS,11,4,399,0.0100
191,Thurgood Marshall Academy PCS,10,0,399,0.0000
193,Latin American Montessori Bilingual PCS,5,6,320,0.0190
193,Latin American Montessori Bilingual PCS,2,4,320,0.0130
193,Latin American Montessori Bilingual PCS,3,4,320,0.0130
193,Latin American Montessori Bilingual PCS,4,4,320,0.0130
193,Latin American Montessori Bilingual PCS,1,2,320,0.0060
193,Latin American Montessori Bilingual PCS,12,2,320,0.0060
193,Latin American Montessori Bilingual PCS,10,0,320,0.0000
193,Latin American Montessori Bilingual PCS,11,0,320,0.0000
195,Eagle Academy PCS – The Eagle Center at McGogney,5,35,749,0.0470
195,Eagle Academy PCS – The Eagle Center at McGogney,4,34,749,0.0450
195,Eagle Academy PCS – The Eagle Center at McGogney,3,31,749,0.0410
195,Eagle Academy PCS – The Eagle Center at McGogney,2,28,749,0.0370
195,Eagle Academy PCS – The Eagle Center at McGogney,1,22,749,0.0290
195,Eagle Academy PCS – The Eagle Center at McGogney,12,14,749,0.0190
195,Eagle Academy PCS – The Eagle Center at McGogney,11,12,749,0.0160
195,Eagle Academy PCS – The Eagle Center at McGogney,10,7,749,0.0090
196,DC Prep PCS – Edgewood Middle,5,18,288,0.0630
196,DC Prep PCS – Edgewood Middle,4,16,288,0.0560
196,DC Prep PCS – Edgewood Middle,3,15,288,0.0520
196,DC Prep PCS – Edgewood Middle,2,10,288,0.0350
196,DC Prep PCS – Edgewood Middle,1,9,288,0.0310
196,DC Prep PCS – Edgewood Middle,12,9,288,0.0310
196,DC Prep PCS – Edgewood Middle,11,6,288,0.0210
196,DC Prep PCS – Edgewood Middle,10,2,288,0.0070
197,SELA,4,14,73,0.1920
197,SELA,5,14,73,0.1920
197,SELA,3,11,73,0.1510
197,SELA,2,10,73,0.1370
197,SELA,1,7,73,0.0960
197,SELA,11,4,73,0.0550
197,SELA,12,4,73,0.0550
197,SELA,10,0,73,0.0000
198,Two Rivers PCS,1,4,516,0.0080
198,Two Rivers PCS,2,6,516,0.0120
198,Two Rivers PCS,3,6,516,0.0120
198,Two Rivers PCS,4,7,516,0.0140
198,Two Rivers PCS,5,8,516,0.0160
198,Two Rivers PCS,10,1,516,0.0020
198,Two Rivers PCS,11,2,516,0.0040
198,Two Rivers PCS,12,4,516,0.0080
199,DC Bilingual PCS,4,6,385,0.0160
199,DC Bilingual PCS,5,6,385,0.0160
199,DC Bilingual PCS,2,4,385,0.0100
199,DC Bilingual PCS,3,4,385,0.0100
199,DC Bilingual PCS,1,3,385,0.0080
199,DC Bilingual PCS,10,2,385,0.0050
199,DC Bilingual PCS,11,2,385,0.0050
199,DC Bilingual PCS,12,2,385,0.0050
200,Ingenuity Prep PCS,5,7,108,0.0650
200,Ingenuity Prep PCS,3,5,108,0.0460
200,Ingenuity Prep PCS,4,5,108,0.0460
200,Ingenuity Prep PCS,1,3,108,0.0280
200,Ingenuity Prep PCS,2,3,108,0.0280
200,Ingenuity Prep PCS,11,3,108,0.0280
200,Ingenuity Prep PCS,12,3,108,0.0280
200,Ingenuity Prep PCS,10,2,108,0.0190
209,KIPP DC – Connect Academy PCS,3,9,203,0.0440
209,KIPP DC – Connect Academy PCS,4,9,203,0.0440
209,KIPP DC – Connect Academy PCS,5,9,203,0.0440
209,KIPP DC – Connect Academy PCS,2,5,203,0.0250
209,KIPP DC – Connect Academy PCS,1,4,203,0.0200
209,KIPP DC – Connect Academy PCS,11,2,203,0.0100
209,KIPP DC – Connect Academy PCS,12,2,203,0.0100
209,KIPP DC – Connect Academy PCS,10,1,203,0.0050
210,"William E. Doar, Jr. PCS for the Performing Arts",5,36,435,0.0830
210,"William E. Doar, Jr. PCS for the Performing Arts",4,25,435,0.0570
210,"William E. Doar, Jr. PCS for the Performing Arts",3,24,435,0.0550
210,"William E. Doar, Jr. PCS for the Performing Arts",2,23,435,0.0530
210,"William E. Doar, Jr. PCS for the Performing Arts",1,19,435,0.0440
210,"William E. Doar, Jr. PCS for the Performing Arts",12,16,435,0.0370
210,"William E. Doar, Jr. PCS for the Performing Arts",11,12,435,0.0280
210,"William E. Doar, Jr. PCS for the Performing Arts",10,8,435,0.0180
214,KIPP DC – Spring Academy PCS,3,3,101,0.0300
214,KIPP DC – Spring Academy PCS,4,3,101,0.0300
214,KIPP DC – Spring Academy PCS,5,3,101,0.0300
214,KIPP DC – Spring Academy PCS,2,2,101,0.0200
214,KIPP DC – Spring Academy PCS,1,1,101,0.0100
214,KIPP DC – Spring Academy PCS,10,0,101,0.0000
214,KIPP DC – Spring Academy PCS,11,0,101,0.0000
214,KIPP DC – Spring Academy PCS,12,0,101,0.0000
217,Achievement Preparatory Academy PCS – Elementary,3,21,233,0.0900
217,Achievement Preparatory Academy PCS – Elementary,4,21,233,0.0900
217,Achievement Preparatory Academy PCS – Elementary,5,21,233,0.0900
217,Achievement Preparatory Academy PCS – Elementary,2,18,233,0.0770
217,Achievement Preparatory Academy PCS – Elementary,1,16,233,0.0690
217,Achievement Preparatory Academy PCS – Elementary,12,9,233,0.0390
