Key,LEA Code,School_Code,school name,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,,,,,,,
224-2013-14-All Students-Total Suspensions-External,1,224,Cleveland ES,2013-14,All Students,Total Suspensions,0,2583,External,303,,,,,,,
227-2013-14-All Students-Total Suspensions-External,1,227,H D Cooke ES,2013-14,All Students,Total Suspensions,10,2583,External,396,,,,,,,
227-2013-14-All Students-Expulsions-External,1,227,H D Cooke ES,2013-14,All Students,Expulsions,0,10,External,396,,,,,,,
227-2013-14-All Students-Expulsion Rate-External,1,227,H D Cooke ES,2013-14,All Students,Expulsion Rate,0,0.02,External,396,,,,,,,
231-2013-14-All Students-Expulsion Rate-External,1,231,Drew ES,2013-14,All Students,Expulsion Rate,0,0.02,External,168,,,,,,,
231-2013-14-All Students-Expulsions-External,1,231,Drew ES,2013-14,All Students,Expulsions,0,10,External,168,,,,,,,
231-2013-14-All Students-Total Suspensions-External,1,231,Drew ES,2013-14,All Students,Total Suspensions,0,2583,External,168,,,,,,,
232-2013-14-All Students-Total Suspensions-External,1,232,Eaton ES,2013-14,All Students,Total Suspensions,0,2524,External,470,,,,,,,
232-2013-14-All Students-Expulsions-External,1,232,Eaton ES,2013-14,All Students,Expulsions,0,10,External,470,,,,,,,
232-2013-14-All Students-Expulsion Rate-External,1,232,Eaton ES,2013-14,All Students,Expulsion Rate,0,0.02,External,470,,,,,,,
238-2013-14-All Students-Expulsions-External,1,238,Garfield ES,2013-14,All Students,Expulsions,0,10,External,266,,,,,,,
238-2013-14-All Students-Total Suspensions-External,1,238,Garfield ES,2013-14,All Students,Total Suspensions,33,2583,External,266,,,,,,,
238-2013-14-All Students-Expulsion Rate-External,1,238,Garfield ES,2013-14,All Students,Expulsion Rate,0,0.02,External,266,,,,,,,
239-2013-14-All Students-Total Suspensions-External,1,239,Garrison ES,2013-14,All Students,Total Suspensions,58,2583,External,280,,,,,,,
239-2013-14-All Students-Expulsions-External,1,239,Garrison ES,2013-14,All Students,Expulsions,0,10,External,280,,,,,,,
239-2013-14-All Students-Expulsion Rate-External,1,239,Garrison ES,2013-14,All Students,Expulsion Rate,0,0.02,External,280,,,,,,,
246-2013-14-All Students-Total Suspensions-External,1,246,Hardy MS,2013-14,All Students,Total Suspensions,127,3381,External,371,,,,,,,
246-2013-14-All Students-Expulsion Rate-External,1,246,Hardy MS,2013-14,All Students,Expulsion Rate,0,0.31,External,371,,,,,,,
246-2013-14-All Students-Expulsions-External,1,246,Hardy MS,2013-14,All Students,Expulsions,0,42,External,371,,,,,,,
247-2013-14-All Students-Expulsion Rate-External,1,247,C W  Harris ES,2013-14,All Students,Expulsion Rate,0,0.02,External,269,,,,,,,
247-2013-14-All Students-Total Suspensions-External,1,247,C W  Harris ES,2013-14,All Students,Total Suspensions,126,2583,External,269,,,,,,,
247-2013-14-All Students-Expulsions-External,1,247,C W  Harris ES,2013-14,All Students,Expulsions,0,10,External,269,,,,,,,
249-2013-14-All Students-Total Suspensions-External,1,249,Hendley ES,2013-14,All Students,Total Suspensions,354,2583,External,521,,,,,,,
249-2013-14-All Students-Expulsions-External,1,249,Hendley ES,2013-14,All Students,Expulsions,0,10,External,521,,,,,,,
249-2013-14-All Students-Expulsion Rate-External,1,249,Hendley ES,2013-14,All Students,Expulsion Rate,0,0.02,External,521,,,,,,,
251-2013-14-All Students-Expulsion Rate-External,1,251,Houston ES,2013-14,All Students,Expulsion Rate,0,0.02,External,274,,,,,,,
251-2013-14-All Students-Total Suspensions-External,1,251,Houston ES,2013-14,All Students,Total Suspensions,18,2583,External,274,,,,,,,
251-2013-14-All Students-Expulsions-External,1,251,Houston ES,2013-14,All Students,Expulsions,0,10,External,274,,,,,,,
252-2013-14-All Students-Expulsions-External,1,252,Hyde Addison ES,2013-14,All Students,Expulsions,0,10,External,334,,,,,,,
252-2013-14-All Students-Expulsion Rate-External,1,252,Hyde Addison ES,2013-14,All Students,Expulsion Rate,0,0.02,External,334,,,,,,,
252-2013-14-All Students-Total Suspensions-External,1,252,Hyde Addison ES,2013-14,All Students,Total Suspensions,1,2524,External,334,,,,,,,
254-2013-14-All Students-Expulsions-External,1,254,Janney ES,2013-14,All Students,Expulsions,0,10,External,627,,,,,,,
254-2013-14-All Students-Expulsion Rate-External,1,254,Janney ES,2013-14,All Students,Expulsion Rate,0,0.02,External,627,,,,,,,
254-2013-14-All Students-Total Suspensions-External,1,254,Janney ES,2013-14,All Students,Total Suspensions,0,2524,External,627,,,,,,,
257-2013-14-All Students-Expulsions-External,1,257,Ketcham ES,2013-14,All Students,Expulsions,0,10,External,306,,,,,,,
257-2013-14-All Students-Expulsion Rate-External,1,257,Ketcham ES,2013-14,All Students,Expulsion Rate,0,0.02,External,306,,,,,,,
257-2013-14-All Students-Total Suspensions-External,1,257,Ketcham ES,2013-14,All Students,Total Suspensions,66,2583,External,306,,,,,,,
258-2013-14-All Students-Expulsions-External,1,258,Hearst ES,2013-14,All Students,Expulsions,0,10,External,287,,,,,,,
258-2013-14-All Students-Total Suspensions-External,1,258,Hearst ES,2013-14,All Students,Total Suspensions,0,2583,External,287,,,,,,,
258-2013-14-All Students-Expulsion Rate-External,1,258,Hearst ES,2013-14,All Students,Expulsion Rate,0,0.02,External,287,,,,,,,
259-2013-14-All Students-Expulsions-External,1,259,Kimball ES,2013-14,All Students,Expulsions,0,10,External,330,,,,,,,
259-2013-14-All Students-Expulsion Rate-External,1,259,Kimball ES,2013-14,All Students,Expulsion Rate,0,0.02,External,330,,,,,,,
259-2013-14-All Students-Total Suspensions-External,1,259,Kimball ES,2013-14,All Students,Total Suspensions,83,2583,External,330,,,,,,,
261-2013-14-All Students-Expulsions-External,1,261,Lafayette ES,2013-14,All Students,Expulsions,0,10,External,689,,,,,,,
261-2013-14-All Students-Expulsion Rate-External,1,261,Lafayette ES,2013-14,All Students,Expulsion Rate,0,0.02,External,689,,,,,,,
261-2013-14-All Students-Total Suspensions-External,1,261,Lafayette ES,2013-14,All Students,Total Suspensions,0,2524,External,689,,,,,,,
262-2013-14-All Students-Expulsion Rate-External,1,262,Langdon EC,2013-14,All Students,Expulsion Rate,0,0.09,External,349,,,,,,,
262-2013-14-All Students-Expulsions-External,1,262,Langdon EC,2013-14,All Students,Expulsions,0,52,External,349,,,,,,,
262-2013-14-All Students-Total Suspensions-External,1,262,Langdon EC,2013-14,All Students,Total Suspensions,31,5964,External,349,,,,,,,
264-2013-14-All Students-Expulsions-External,1,264,LaSalle Backus EC,2013-14,All Students,Expulsions,0,52,External,342,,,,,,,
264-2013-14-All Students-Expulsion Rate-External,1,264,LaSalle Backus EC,2013-14,All Students,Expulsion Rate,0,0.09,External,342,,,,,,,
264-2013-14-All Students-Total Suspensions-External,1,264,LaSalle Backus EC,2013-14,All Students,Total Suspensions,74,5964,External,342,,,,,,,
265-2013-14-All Students-Expulsion Rate-External,1,265,Mamie D Lee School,2013-14,All Students,Expulsion Rate,0,0.16,External,62,,,,,,,
265-2013-14-All Students-Total Suspensions-External,1,265,Mamie D Lee School,2013-14,All Students,Total Suspensions,1,6939,External,62,,,,,,,
265-2013-14-All Students-Expulsions-External,1,265,Mamie D Lee School,2013-14,All Students,Expulsions,0,86,External,62,,,,,,,
266-2013-14-All Students-Total Suspensions-External,1,266,Leckie ES,2013-14,All Students,Total Suspensions,9,2583,External,374,,,,,,,
266-2013-14-All Students-Expulsion Rate-External,1,266,Leckie ES,2013-14,All Students,Expulsion Rate,0,0.02,External,374,,,,,,,
266-2013-14-All Students-Expulsions-External,1,266,Leckie ES,2013-14,All Students,Expulsions,0,10,External,374,,,,,,,
271-2013-14-All Students-Total Suspensions-External,1,271,Ludlow Taylor ES,2013-14,All Students,Total Suspensions,22,2583,External,299,,,,,,,
271-2013-14-All Students-Expulsions-External,1,271,Ludlow Taylor ES,2013-14,All Students,Expulsions,0,10,External,299,,,,,,,
271-2013-14-All Students-Expulsion Rate-External,1,271,Ludlow Taylor ES,2013-14,All Students,Expulsion Rate,0,0.02,External,299,,,,,,,
272-2013-14-All Students-Expulsion Rate-External,1,272,Key ES,2013-14,All Students,Expulsion Rate,0,0.02,External,381,,,,,,,
272-2013-14-All Students-Total Suspensions-External,1,272,Key ES,2013-14,All Students,Total Suspensions,0,2524,External,381,,,,,,,
272-2013-14-All Students-Expulsions-External,1,272,Key ES,2013-14,All Students,Expulsions,0,10,External,381,,,,,,,
273-2013-14-All Students-Expulsion Rate-External,1,273,Mann ES,2013-14,All Students,Expulsion Rate,0,0.02,External,287,,,,,,,
273-2013-14-All Students-Total Suspensions-External,1,273,Mann ES,2013-14,All Students,Total Suspensions,0,2524,External,287,,,,,,,
273-2013-14-All Students-Expulsions-External,1,273,Mann ES,2013-14,All Students,Expulsions,0,10,External,287,,,,,,,
274-2013-14-All Students-Expulsion Rate-External,1,274,Maury ES,2013-14,All Students,Expulsion Rate,0,0.02,External,339,,,,,,,
274-2013-14-All Students-Total Suspensions-External,1,274,Maury ES,2013-14,All Students,Total Suspensions,2,2583,External,339,,,,,,,
274-2013-14-All Students-Expulsions-External,1,274,Maury ES,2013-14,All Students,Expulsions,0,10,External,339,,,,,,,
280-2013-14-All Students-Total Suspensions-External,1,280,Miner ES,2013-14,All Students,Total Suspensions,51,2583,External,426,,,,,,,
280-2013-14-All Students-Expulsions-External,1,280,Miner ES,2013-14,All Students,Expulsions,0,10,External,426,,,,,,,
280-2013-14-All Students-Expulsion Rate-External,1,280,Miner ES,2013-14,All Students,Expulsion Rate,0,0.02,External,426,,,,,,,
284-2013-14-All Students-Total Suspensions-External,1,284,Marie Reed ES,2013-14,All Students,Total Suspensions,10,2583,External,377,,,,,,,
284-2013-14-All Students-Expulsion Rate-External,1,284,Marie Reed ES,2013-14,All Students,Expulsion Rate,0,0.02,External,377,,,,,,,
284-2013-14-All Students-Expulsions-External,1,284,Marie Reed ES,2013-14,All Students,Expulsions,0,10,External,377,,,,,,,
285-2013-14-All Students-Total Suspensions-External,1,285,Moten ES,2013-14,All Students,Total Suspensions,16,2583,External,362,,,,,,,
285-2013-14-All Students-Expulsions-External,1,285,Moten ES,2013-14,All Students,Expulsions,0,10,External,362,,,,,,,
285-2013-14-All Students-Expulsion Rate-External,1,285,Moten ES,2013-14,All Students,Expulsion Rate,0,0.02,External,362,,,,,,,
287-2013-14-All Students-Expulsion Rate-External,1,287,Murch ES,2013-14,All Students,Expulsion Rate,0,0.02,External,626,,,,,,,
287-2013-14-All Students-Total Suspensions-External,1,287,Murch ES,2013-14,All Students,Total Suspensions,0,2524,External,626,,,,,,,
287-2013-14-All Students-Expulsions-External,1,287,Murch ES,2013-14,All Students,Expulsions,0,10,External,626,,,,,,,
288-2013-14-All Students-Expulsions-External,1,288,Nalle ES,2013-14,All Students,Expulsions,0,10,External,369,,,,,,,
288-2013-14-All Students-Expulsion Rate-External,1,288,Nalle ES,2013-14,All Students,Expulsion Rate,0,0.02,External,369,,,,,,,
288-2013-14-All Students-Total Suspensions-External,1,288,Nalle ES,2013-14,All Students,Total Suspensions,62,2583,External,369,,,,,,,
290-2013-14-All Students-Expulsion Rate-External,1,290,Noyes EC,2013-14,All Students,Expulsion Rate,0,0.09,External,305,,,,,,,
290-2013-14-All Students-Expulsions-External,1,290,Noyes EC,2013-14,All Students,Expulsions,0,52,External,305,,,,,,,
290-2013-14-All Students-Total Suspensions-External,1,290,Noyes EC,2013-14,All Students,Total Suspensions,49,5964,External,305,,,,,,,
291-2013-14-All Students-Expulsions-External,1,291,Orr ES,2013-14,All Students,Expulsions,0,10,External,355,,,,,,,
291-2013-14-All Students-Total Suspensions-External,1,291,Orr ES,2013-14,All Students,Total Suspensions,38,2583,External,355,,,,,,,
291-2013-14-All Students-Expulsion Rate-External,1,291,Orr ES,2013-14,All Students,Expulsion Rate,0,0.02,External,355,,,,,,,
292-2013-14-All Students-Expulsions-External,1,292,Oyster Adams Bilingual School (Oyster),2013-14,All Students,Expulsions,0,52,External,661,,,,,,,
292-2013-14-All Students-Total Suspensions-External,1,292,Oyster Adams Bilingual School (Oyster),2013-14,All Students,Total Suspensions,20,5964,External,661,,,,,,,
292-2013-14-All Students-Expulsion Rate-External,1,292,Oyster Adams Bilingual School (Oyster),2013-14,All Students,Expulsion Rate,0,0.09,External,661,,,,,,,
294-2013-14-All Students-Total Suspensions-External,1,294,Patterson ES,2013-14,All Students,Total Suspensions,81,2583,External,356,,,,,,,
294-2013-14-All Students-Expulsions-External,1,294,Patterson ES,2013-14,All Students,Expulsions,0,10,External,356,,,,,,,
294-2013-14-All Students-Expulsion Rate-External,1,294,Patterson ES,2013-14,All Students,Expulsion Rate,0,0.02,External,356,,,,,,,
295-2013-14-All Students-Expulsions-External,1,295,Payne ES,2013-14,All Students,Expulsions,0,10,External,258,,,,,,,
295-2013-14-All Students-Total Suspensions-External,1,295,Payne ES,2013-14,All Students,Total Suspensions,17,2583,External,258,,,,,,,
295-2013-14-All Students-Expulsion Rate-External,1,295,Payne ES,2013-14,All Students,Expulsion Rate,0,0.02,External,258,,,,,,,
296-2013-14-All Students-Expulsions-External,1,296,Bruce Monroe ES at Park View,2013-14,All Students,Expulsions,0,10,External,465,,,,,,,
296-2013-14-All Students-Expulsion Rate-External,1,296,Bruce Monroe ES at Park View,2013-14,All Students,Expulsion Rate,0,0.02,External,465,,,,,,,
296-2013-14-All Students-Total Suspensions-External,1,296,Bruce Monroe ES at Park View,2013-14,All Students,Total Suspensions,15,2583,External,465,,,,,,,
299-2013-14-All Students-Expulsion Rate-External,1,299,Plummer ES,2013-14,All Students,Expulsion Rate,0,0.02,External,416,,,,,,,
299-2013-14-All Students-Expulsions-External,1,299,Plummer ES,2013-14,All Students,Expulsions,0,10,External,416,,,,,,,
299-2013-14-All Students-Total Suspensions-External,1,299,Plummer ES,2013-14,All Students,Total Suspensions,9,2583,External,416,,,,,,,
300-2013-14-All Students-Expulsions-External,1,300,Powell ES,2013-14,All Students,Expulsions,0,10,External,406,,,,,,,
300-2013-14-All Students-Total Suspensions-External,1,300,Powell ES,2013-14,All Students,Total Suspensions,26,2583,External,406,,,,,,,
300-2013-14-All Students-Expulsion Rate-External,1,300,Powell ES,2013-14,All Students,Expulsion Rate,0,0.02,External,406,,,,,,,
301-2013-14-All Students-Expulsion Rate-External,1,301,Peabody ES (Capitol Hill Cluster),2013-14,All Students,Expulsion Rate,0,0,External,228,,,,,,,
301-2013-14-All Students-Expulsions-External,1,301,Peabody ES (Capitol Hill Cluster),2013-14,All Students,Expulsions,0,0,External,228,,,,,,,
301-2013-14-All Students-Total Suspensions-External,1,301,Peabody ES (Capitol Hill Cluster),2013-14,All Students,Total Suspensions,0,341,External,228,,,,,,,
302-2013-14-All Students-Expulsion Rate-External,1,302,Raymond EC,2013-14,All Students,Expulsion Rate,0,0.09,External,543,,,,,,,
302-2013-14-All Students-Total Suspensions-External,1,302,Raymond EC,2013-14,All Students,Total Suspensions,1,5964,External,543,,,,,,,
302-2013-14-All Students-Expulsions-External,1,302,Raymond EC,2013-14,All Students,Expulsions,0,52,External,543,,,,,,,
305-2013-14-All Students-Expulsions-External,1,305,Ross ES,2013-14,All Students,Expulsions,0,10,External,161,,,,,,,
305-2013-14-All Students-Expulsion Rate-External,1,305,Ross ES,2013-14,All Students,Expulsion Rate,0,0.02,External,161,,,,,,,
305-2013-14-All Students-Total Suspensions-External,1,305,Ross ES,2013-14,All Students,Total Suspensions,4,2583,External,161,,,,,,,
307-2013-14-All Students-Total Suspensions-External,1,307,Savoy ES,2013-14,All Students,Total Suspensions,52,2583,External,408,,,,,,,
307-2013-14-All Students-Expulsion Rate-External,1,307,Savoy ES,2013-14,All Students,Expulsion Rate,0,0.02,External,408,,,,,,,
307-2013-14-All Students-Expulsions-External,1,307,Savoy ES,2013-14,All Students,Expulsions,0,10,External,408,,,,,,,
308-2013-14-All Students-Expulsions-External,1,308,Malcolm X ES at Green,2013-14,All Students,Expulsions,0,10,External,225,,,,,,,
308-2013-14-All Students-Total Suspensions-External,1,308,Malcolm X ES at Green,2013-14,All Students,Total Suspensions,41,2583,External,225,,,,,,,
308-2013-14-All Students-Expulsion Rate-External,1,308,Malcolm X ES at Green,2013-14,All Students,Expulsion Rate,0,0.02,External,225,,,,,,,
309-2013-14-All Students-Expulsion Rate-External,1,309,Seaton ES,2013-14,All Students,Expulsion Rate,0,0.02,External,253,,,,,,,
309-2013-14-All Students-Expulsions-External,1,309,Seaton ES,2013-14,All Students,Expulsions,0,10,External,253,,,,,,,
309-2013-14-All Students-Total Suspensions-External,1,309,Seaton ES,2013-14,All Students,Total Suspensions,0,2583,External,253,,,,,,,
312-2013-14-All Students-Total Suspensions-External,1,312,Sharpe Health School,2013-14,All Students,Total Suspensions,0,6141,External,67,,,,,,,
312-2013-14-All Students-Expulsion Rate-External,1,312,Sharpe Health School,2013-14,All Students,Expulsion Rate,0,0.12,External,67,,,,,,,
312-2013-14-All Students-Expulsions-External,1,312,Sharpe Health School,2013-14,All Students,Expulsions,0,68,External,67,,,,,,,
313-2013-14-All Students-Expulsions-External,1,313,Shepherd ES,2013-14,All Students,Expulsions,0,10,External,304,,,,,,,
313-2013-14-All Students-Expulsion Rate-External,1,313,Shepherd ES,2013-14,All Students,Expulsion Rate,0,0.02,External,304,,,,,,,
313-2013-14-All Students-Total Suspensions-External,1,313,Shepherd ES,2013-14,All Students,Total Suspensions,1,2524,External,304,,,,,,,
315-2013-14-All Students-Expulsion Rate-External,1,315,Simon ES,2013-14,All Students,Expulsion Rate,0,0.02,External,296,,,,,,,
315-2013-14-All Students-Expulsions-External,1,315,Simon ES,2013-14,All Students,Expulsions,0,10,External,296,,,,,,,
315-2013-14-All Students-Total Suspensions-External,1,315,Simon ES,2013-14,All Students,Total Suspensions,0,2583,External,296,,,,,,,
316-2013-14-All Students-Total Suspensions-External,1,316,Randle Highlands ES,2013-14,All Students,Total Suspensions,14,2583,External,335,,,,,,,
316-2013-14-All Students-Expulsion Rate-External,1,316,Randle Highlands ES,2013-14,All Students,Expulsion Rate,0,0.02,External,335,,,,,,,
316-2013-14-All Students-Expulsions-External,1,316,Randle Highlands ES,2013-14,All Students,Expulsions,0,10,External,335,,,,,,,
319-2013-14-All Students-Total Suspensions-External,1,319,Stanton ES,2013-14,All Students,Total Suspensions,55,2583,External,585,,,,,,,
319-2013-14-All Students-Expulsion Rate-External,1,319,Stanton ES,2013-14,All Students,Expulsion Rate,0,0.02,External,585,,,,,,,
319-2013-14-All Students-Expulsions-External,1,319,Stanton ES,2013-14,All Students,Expulsions,0,10,External,585,,,,,,,
321-2013-14-All Students-Total Suspensions-External,1,321,Stoddert ES,2013-14,All Students,Total Suspensions,2,2524,External,381,,,,,,,
321-2013-14-All Students-Expulsions-External,1,321,Stoddert ES,2013-14,All Students,Expulsions,0,10,External,381,,,,,,,
321-2013-14-All Students-Expulsion Rate-External,1,321,Stoddert ES,2013-14,All Students,Expulsion Rate,0,0.02,External,381,,,,,,,
322-2013-14-All Students-Expulsion Rate-External,1,322,Smothers ES,2013-14,All Students,Expulsion Rate,0,0.02,External,290,,,,,,,
322-2013-14-All Students-Expulsions-External,1,322,Smothers ES,2013-14,All Students,Expulsions,0,10,External,290,,,,,,,
322-2013-14-All Students-Total Suspensions-External,1,322,Smothers ES,2013-14,All Students,Total Suspensions,0,2583,External,290,,,,,,,
324-2013-14-All Students-Expulsions-External,1,324,Takoma EC,2013-14,All Students,Expulsions,0,52,External,442,,,,,,,
324-2013-14-All Students-Expulsion Rate-External,1,324,Takoma EC,2013-14,All Students,Expulsion Rate,0,0.09,External,442,,,,,,,
324-2013-14-All Students-Total Suspensions-External,1,324,Takoma EC,2013-14,All Students,Total Suspensions,21,5964,External,442,,,,,,,
325-2013-14-All Students-Expulsion Rate-External,1,325,Thomas ES,2013-14,All Students,Expulsion Rate,0,0.02,External,414,,,,,,,
325-2013-14-All Students-Total Suspensions-External,1,325,Thomas ES,2013-14,All Students,Total Suspensions,21,2583,External,414,,,,,,,
325-2013-14-All Students-Expulsions-External,1,325,Thomas ES,2013-14,All Students,Expulsions,0,10,External,414,,,,,,,
326-2013-14-All Students-Total Suspensions-External,1,326,Thomson ES,2013-14,All Students,Total Suspensions,3,2583,External,289,,,,,,,
326-2013-14-All Students-Expulsion Rate-External,1,326,Thomson ES,2013-14,All Students,Expulsion Rate,0,0.02,External,289,,,,,,,
326-2013-14-All Students-Expulsions-External,1,326,Thomson ES,2013-14,All Students,Expulsions,0,10,External,289,,,,,,,
327-2013-14-All Students-Expulsion Rate-External,1,327,Truesdell EC,2013-14,All Students,Expulsion Rate,0,0.09,External,480,,,,,,,
327-2013-14-All Students-Total Suspensions-External,1,327,Truesdell EC,2013-14,All Students,Total Suspensions,27,5964,External,480,,,,,,,
327-2013-14-All Students-Expulsions-External,1,327,Truesdell EC,2013-14,All Students,Expulsions,0,52,External,480,,,,,,,
328-2013-14-All Students-Expulsions-External,1,328,Tubman ES,2013-14,All Students,Expulsions,0,10,External,509,,,,,,,
328-2013-14-All Students-Expulsion Rate-External,1,328,Tubman ES,2013-14,All Students,Expulsion Rate,0,0.02,External,509,,,,,,,
328-2013-14-All Students-Total Suspensions-External,1,328,Tubman ES,2013-14,All Students,Total Suspensions,75,2583,External,509,,,,,,,
329-2013-14-All Students-Total Suspensions-External,1,329,Turner ES,2013-14,All Students,Total Suspensions,14,2583,External,403,,,,,,,
329-2013-14-All Students-Expulsion Rate-External,1,329,Turner ES,2013-14,All Students,Expulsion Rate,0,0.02,External,403,,,,,,,
329-2013-14-All Students-Expulsions-External,1,329,Turner ES,2013-14,All Students,Expulsions,0,10,External,403,,,,,,,
330-2013-14-All Students-Expulsions-External,1,330,Tyler ES,2013-14,All Students,Expulsions,0,10,External,507,,,,,,,
330-2013-14-All Students-Expulsion Rate-External,1,330,Tyler ES,2013-14,All Students,Expulsion Rate,0,0.02,External,507,,,,,,,
330-2013-14-All Students-Total Suspensions-External,1,330,Tyler ES,2013-14,All Students,Total Suspensions,12,2583,External,507,,,,,,,
332-2013-14-All Students-Expulsion Rate-External,1,332,Walker Jones EC,2013-14,All Students,Expulsion Rate,0,0.09,External,454,,,,,,,
332-2013-14-All Students-Total Suspensions-External,1,332,Walker Jones EC,2013-14,All Students,Total Suspensions,25,5964,External,454,,,,,,,
332-2013-14-All Students-Expulsions-External,1,332,Walker Jones EC,2013-14,All Students,Expulsions,0,52,External,454,,,,,,,
333-2013-14-All Students-Expulsion Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,All Students,Expulsion Rate,0,0.04,External,545,,,,,,,
333-2013-14-All Students-Expulsions-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,All Students,Expulsions,0,10,External,545,,,,,,,
333-2013-14-All Students-Total Suspensions-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,All Students,Total Suspensions,43,2242,External,545,,,,,,,
335-2013-14-All Students-Expulsions-External,1,335,Wheatley EC,2013-14,All Students,Expulsions,0,52,External,442,,,,,,,
335-2013-14-All Students-Expulsion Rate-External,1,335,Wheatley EC,2013-14,All Students,Expulsion Rate,0,0.09,External,442,,,,,,,
335-2013-14-All Students-Total Suspensions-External,1,335,Wheatley EC,2013-14,All Students,Total Suspensions,43,5964,External,442,,,,,,,
336-2013-14-All Students-Expulsion Rate-External,1,336,West EC,2013-14,All Students,Expulsion Rate,0,0.09,External,258,,,,,,,
336-2013-14-All Students-Expulsions-External,1,336,West EC,2013-14,All Students,Expulsions,0,52,External,258,,,,,,,
336-2013-14-All Students-Total Suspensions-External,1,336,West EC,2013-14,All Students,Total Suspensions,37,5964,External,258,,,,,,,
338-2013-14-All Students-Total Suspensions-External,1,338,Whittier EC,2013-14,All Students,Total Suspensions,23,5964,External,362,,,,,,,
338-2013-14-All Students-Expulsion Rate-External,1,338,Whittier EC,2013-14,All Students,Expulsion Rate,0,0.09,External,362,,,,,,,
